,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_hidden_layer_sizes,param_learning_rate,param_medfilt_kernel_size,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_specificity,split1_test_specificity,split2_test_specificity,split3_test_specificity,split4_test_specificity,mean_test_specificity,std_test_specificity,rank_test_specificity,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_detection_time_mean,split1_test_detection_time_mean,split2_test_detection_time_mean,split3_test_detection_time_mean,split4_test_detection_time_mean,mean_test_detection_time_mean,std_test_detection_time_mean,rank_test_detection_time_mean,split0_test_detection_time_std,split1_test_detection_time_std,split2_test_detection_time_std,split3_test_detection_time_std,split4_test_detection_time_std,mean_test_detection_time_std,std_test_detection_time_std,rank_test_detection_time_std,split0_test_detection_time_median,split1_test_detection_time_median,split2_test_detection_time_median,split3_test_detection_time_median,split4_test_detection_time_median,mean_test_detection_time_median,std_test_detection_time_median,rank_test_detection_time_median
0,31.013037157058715,17.941186072719727,0.7148726463317872,0.08741745161745387,logistic,"(23,)",constant,3,"{'activation': 'logistic', 'hidden_layer_sizes': (23,), 'learning_rate': 'constant', 'medfilt_kernel_size': 3}",0.87,0.76,0.96,0.9,0.87,0.8719999999999999,0.0649307323229917,272,0.9795918367346939,0.9166666666666666,0.9795918367346939,0.8653846153846154,0.9,0.9282469911041339,0.04506941545498009,549,0.7647058823529411,0.6153846153846154,0.9411764705882353,0.9375,0.84,0.8197533936651583,0.12150273907897556,296,0.8,0.6875,0.9411764705882353,0.9375,0.8490566037735849,0.8430466148723641,0.0944825814229281,325,4.5625,14.386363636363637,7.5,13.844444444444445,12.0,10.458661616161617,3.8153503874777495,256,7.678178630595497,37.110532632009004,17.667059744054754,23.69805951320399,22.4825858536483,21.72728327470231,9.53898902585562,262,0.0,3.0,0.0,0.0,0.0,0.6,1.2000000000000002,410
1,36.18358697891235,20.709600202414745,0.707098388671875,0.0029696958545356506,logistic,"(23,)",constant,5,"{'activation': 'logistic', 'hidden_layer_sizes': (23,), 'learning_rate': 'constant', 'medfilt_kernel_size': 5}",0.75,0.78,0.94,0.86,0.63,0.7919999999999999,0.10457533169921096,758,0.9591836734693877,0.9375,0.9591836734693877,0.8653846153846154,0.98,0.9402503924646781,0.039772902320374136,395,0.5490196078431373,0.6346153846153846,0.9215686274509803,0.8541666666666666,0.28,0.6478740573152338,0.2292355448103888,755,0.6714285714285714,0.703125,0.9215686274509803,0.8653846153846154,0.5764705882352941,0.7475954804998922,0.12743915142757103,754,3.382978723404255,9.555555555555555,16.638297872340427,13.71111111111111,1.836734693877551,9.02493559125778,5.722010017681085,479,5.456026110131891,19.889199252699445,38.01647209163747,29.184183099923782,5.77590681554486,19.664357473987486,12.823755195340933,420,0.0,1.0,0.0,0.0,0.0,0.2,0.4000000000000001,603
2,31.906905794143675,11.850388177429034,0.7180721759796143,0.004848683052018647,logistic,"(23,)",constant,7,"{'activation': 'logistic', 'hidden_layer_sizes': (23,), 'learning_rate': 'constant', 'medfilt_kernel_size': 7}",0.76,0.81,0.93,0.8,0.81,0.8219999999999998,0.05706137047074843,637,0.9591836734693877,0.9791666666666666,0.9591836734693877,0.9423076923076923,0.98,0.9639683411826269,0.014163142178845064,126,0.5686274509803921,0.6538461538461539,0.9019607843137255,0.6458333333333334,0.64,0.682053544494721,0.11410585787161,691,0.6811594202898551,0.7230769230769231,0.9038461538461539,0.7424242424242424,0.7313432835820896,0.7563700046438527,0.07659647108531908,720,3.6808510638297873,7.574468085106383,11.787234042553191,9.571428571428571,10.16326530612245,8.555449413808075,2.7851660962952822,545,5.592952948125496,14.823421204513762,29.827116158068755,19.183326093250876,19.21770754318337,17.72890478942845,7.8284322216588365,560,0.0,2.0,0.0,0.0,0.0,0.4,0.8000000000000002,511
3,43.53326587677002,12.92638313002523,0.7113060474395752,0.002879159418104016,logistic,"(23,)",constant,9,"{'activation': 'logistic', 'hidden_layer_sizes': (23,), 'learning_rate': 'constant', 'medfilt_kernel_size': 9}",0.7,0.8,0.96,0.88,0.86,0.8400000000000001,0.0867179335547152,488,0.9795918367346939,0.9791666666666666,0.9387755102040817,0.9423076923076923,0.96,0.959968341182627,0.01740513076608592,164,0.43137254901960786,0.6346153846153846,0.9803921568627451,0.8125,0.76,0.7237760180995474,0.18356762884343703,603,0.6233766233766234,0.7121212121212122,0.9787234042553191,0.8448275862068966,0.8,0.7918097651920102,0.12044473131821505,585,2.8333333333333335,7.872340425531915,10.311111111111112,17.959183673469386,8.5,9.495193708689149,4.905288865880992,401,6.452820227535312,22.809681614908,18.03554788894202,36.92295297611592,13.307266185559428,19.505653778612135,10.249259437355006,441,0.0,0.0,1.0,0.0,0.5,0.3,0.39999999999999997,580
4,38.86701350212097,16.432549706120263,0.7200258731842041,0.00562472021164597,logistic,"(23,)",constant,11,"{'activation': 'logistic', 'hidden_layer_sizes': (23,), 'learning_rate': 'constant', 'medfilt_kernel_size': 11}",0.69,0.8,0.7,0.89,0.68,0.752,0.08133879763065104,830,1.0,0.9166666666666666,1.0,0.9038461538461539,0.98,0.960102564102564,0.04154751404999323,161,0.39215686274509803,0.6923076923076923,0.4117647058823529,0.875,0.38,0.5502458521870286,0.19939891152747735,846,0.6125,0.7333333333333333,0.620253164556962,0.8867924528301887,0.6125,0.6930757901440968,0.10717729787409778,851,5.653061224489796,10.340909090909092,10.16326530612245,16.170212765957448,6.8979591836734695,9.84508151423045,3.6500119288478015,348,17.086276890412478,22.186137340299787,28.615927446502415,36.93082616502542,13.489595231456654,23.66175261473935,8.36061323607569,146,0.0,1.5,0.0,0.0,0.0,0.3,0.6000000000000001,580
5,25.96235990524292,7.990045357820439,0.6878314971923828,0.0023688716659287156,logistic,"(23,)",adaptive,3,"{'activation': 'logistic', 'hidden_layer_sizes': (23,), 'learning_rate': 'adaptive', 'medfilt_kernel_size': 3}",0.96,0.84,0.87,0.83,0.76,0.852,0.06493073232299171,412,0.9591836734693877,0.9791666666666666,0.7959183673469388,0.9807692307692307,0.98,0.9390075876504447,0.07199828295131291,433,0.9607843137254902,0.7115384615384616,0.9411764705882353,0.6666666666666666,0.54,0.7640331825037707,0.16279898841740534,480,0.9591836734693877,0.7580645161290323,0.9285714285714286,0.7611940298507462,0.6805555555555556,0.81751384071523,0.10758052286215503,468,5.723404255319149,8.97872340425532,22.394736842105264,6.215686274509804,3.63265306122449,9.389040767482806,6.722492988856993,419,9.65071296596636,23.316955169367702,40.63997220373338,15.25124710489334,8.230589726561545,19.417895434104466,11.861651064623498,446,0.0,1.0,1.0,0.0,0.0,0.4,0.48989794855663565,511
6,25.789707231521607,9.193380906097369,0.7069236278533936,0.019186356437420067,logistic,"(23,)",adaptive,5,"{'activation': 'logistic', 'hidden_layer_sizes': (23,), 'learning_rate': 'adaptive', 'medfilt_kernel_size': 5}",0.67,0.79,0.92,0.88,0.86,0.8240000000000001,0.08777243302996675,619,1.0,0.9583333333333334,0.8979591836734694,0.9807692307692307,0.94,0.9554123495552067,0.03515101401657593,238,0.35294117647058826,0.6346153846153846,0.9411764705882353,0.7708333333333334,0.78,0.6959132730015083,0.19709130843714112,668,0.5975609756097561,0.7076923076923077,0.9361702127659575,0.8225806451612904,0.8103448275862069,0.7748697937631037,0.114458604015701,657,2.2244897959183674,11.869565217391305,6.863636363636363,7.745098039215686,11.829787234042554,8.106515330040855,3.5859975764945435,604,4.305977364806091,21.62889441751491,17.539035566274485,15.826068265842094,23.087547669718823,16.47750465683128,6.632145640174406,646,0.0,1.5,0.0,0.0,0.0,0.3,0.6000000000000001,580
7,32.61094980239868,19.164198043018143,0.7007939338684082,0.003370177637514475,logistic,"(23,)",adaptive,7,"{'activation': 'logistic', 'hidden_layer_sizes': (23,), 'learning_rate': 'adaptive', 'medfilt_kernel_size': 7}",0.89,0.9,0.93,0.86,0.73,0.8620000000000001,0.06968500556073741,331,0.9795918367346939,0.9375,0.9591836734693877,0.7884615384615384,0.98,0.9289474097331241,0.07196510742187956,543,0.803921568627451,0.8653846153846154,0.9019607843137255,0.9375,0.48,0.7977533936651584,0.16490454327716092,363,0.8275862068965517,0.8653846153846154,0.9038461538461539,0.9318181818181818,0.6533333333333333,0.8363936982557671,0.09806610853284195,367,5.541666666666667,15.466666666666667,10.53191489361702,7.585365853658536,8.285714285714286,9.482265673264635,3.390371761771526,406,11.278590214305252,30.21522794883401,29.20496246365325,13.08690578077689,17.092784012738313,20.17569408406154,8.015405655093094,384,0.0,2.0,0.0,0.0,0.0,0.4,0.8000000000000002,511
8,31.024375343322752,20.436125946578848,0.7085406303405761,0.0017396329437781774,logistic,"(23,)",adaptive,9,"{'activation': 'logistic', 'hidden_layer_sizes': (23,), 'learning_rate': 'adaptive', 'medfilt_kernel_size': 9}",0.88,0.85,0.71,0.73,0.83,0.8,0.06752777206453653,723,0.9795918367346939,0.9791666666666666,1.0,0.9230769230769231,0.98,0.9723670852956566,0.025883549963894897,47,0.7843137254901961,0.7307692307692307,0.43137254901960786,0.5208333333333334,0.68,0.6294577677224736,0.13254125324543395,782,0.8135593220338984,0.7704918032786885,0.6282051282051282,0.676056338028169,0.7538461538461538,0.7284317490784076,0.06700776525251287,797,5.166666666666667,9.297872340425531,8.408163265306122,7.791666666666667,6.6938775510204085,7.47164929801708,1.430554714021227,666,9.09517576642817,18.412432078558574,27.86477431537557,14.36859760805564,11.058663759617234,16.159928705607037,6.651611645842701,668,0.0,1.0,0.0,0.0,0.0,0.2,0.4000000000000001,603
9,22.26041798591614,6.339404842137429,0.8491507053375245,0.07723110461513469,logistic,"(23,)",adaptive,11,"{'activation': 'logistic', 'hidden_layer_sizes': (23,), 'learning_rate': 'adaptive', 'medfilt_kernel_size': 11}",0.91,0.84,0.93,0.84,0.87,0.8779999999999999,0.036551333764994164,226,0.9387755102040817,0.9375,0.8979591836734694,0.8269230769230769,0.98,0.9162315541601256,0.05164663601240755,674,0.8823529411764706,0.75,0.9607843137254902,0.8541666666666666,0.76,0.8414607843137254,0.0788322866074853,214,0.8846153846153846,0.7758620689655172,0.9565217391304348,0.86,0.8032786885245902,0.8560555762471853,0.06346821173638346,254,4.934782608695652,10.066666666666666,13.613636363636363,9.627906976744185,7.285714285714286,9.10574138029143,2.90608145778219,462,7.877878145996916,19.28430565108437,37.96243113508341,18.00778030278044,11.073041357186344,18.841087318426297,10.459934281265022,480,0.0,2.0,0.5,0.0,1.0,0.7,0.7483314773547882,378
