,cv_step,th_majority,th_mode,th_multiplier,mk_size,accuracy,recall,specificity,precision,dt_mean,dt_std,dt_median
60,0,0.2,daytime,1.0,1,0.93,0.868,1.0,1.0,7.87,22.585,0.0
61,0,0.2,daytime,1.0,3,0.93,0.868,1.0,1.0,17.217,40.614,0.0
62,0,0.2,daytime,1.0,5,0.89,0.792,1.0,1.0,12.024,33.928,0.0
63,0,0.2,daytime,1.0,7,0.88,0.774,1.0,1.0,14.707,39.874,0.0
64,0,0.2,daytime,1.05,1,0.93,0.868,1.0,1.0,10.043,30.159,0.0
65,0,0.2,daytime,1.05,3,0.91,0.83,1.0,1.0,15.955,40.333,0.0
66,0,0.2,daytime,1.05,5,0.88,0.774,1.0,1.0,14.585,39.896,0.0
67,0,0.2,daytime,1.05,7,0.87,0.755,1.0,1.0,10.4,27.378,0.0
68,0,0.2,daytime,1.1,1,0.91,0.83,1.0,1.0,13.795,38.516,0.0
69,0,0.2,daytime,1.1,3,0.89,0.792,1.0,1.0,12.762,34.293,0.0
70,0,0.2,daytime,1.1,5,0.88,0.774,1.0,1.0,15.0,40.249,0.0
71,0,0.2,daytime,1.1,7,0.87,0.755,1.0,1.0,10.9,27.892,0.0
72,0,0.2,daytime,1.15,1,0.9,0.811,1.0,1.0,10.326,31.214,0.0
73,0,0.2,daytime,1.15,3,0.88,0.774,1.0,1.0,13.634,39.758,0.0
74,0,0.2,daytime,1.15,5,0.88,0.774,1.0,1.0,15.122,40.341,0.0
75,0,0.2,daytime,1.15,7,0.87,0.755,1.0,1.0,15.65,42.818,0.0
76,0,0.2,daytime,1.2,1,0.89,0.792,1.0,1.0,8.548,26.53,0.0
77,0,0.2,daytime,1.2,3,0.88,0.774,1.0,1.0,13.756,39.859,0.0
78,0,0.2,daytime,1.2,5,0.87,0.755,1.0,1.0,10.625,28.18,0.0
79,0,0.2,daytime,1.2,7,0.86,0.736,1.0,1.0,14.769,42.971,0.0
80,0,0.3,simple,1.0,1,0.76,0.547,1.0,1.0,3.31,17.517,0.0
81,0,0.3,simple,1.0,3,0.75,0.528,1.0,1.0,1.5,5.288,0.0
82,0,0.3,simple,1.0,5,0.74,0.509,1.0,1.0,1.815,5.812,0.0
83,0,0.3,simple,1.0,7,0.74,0.509,1.0,1.0,4.148,10.886,0.0
84,0,0.3,simple,1.05,1,0.74,0.509,1.0,1.0,0.0,0.0,0.0
85,0,0.3,simple,1.05,3,0.74,0.509,1.0,1.0,1.741,5.441,0.0
86,0,0.3,simple,1.05,5,0.74,0.509,1.0,1.0,3.037,8.404,0.0
87,0,0.3,simple,1.05,7,0.74,0.509,1.0,1.0,14.333,55.121,0.0
88,0,0.3,simple,1.1,1,0.74,0.509,1.0,1.0,1.185,6.043,0.0
89,0,0.3,simple,1.1,3,0.74,0.509,1.0,1.0,2.704,7.868,0.0
