,cv_step,past_end,window,accuracy,recall,specificity,precision,dt_mean,dt_std,dt_median
76,1,4,1,0.9,0.767,1.0,1.0,4.576,11.04,0.0
77,2,4,1,0.84,0.628,1.0,1.0,4.926,11.035,0.0
78,3,4,1,0.83,0.738,1.0,1.0,16.562,40.434,0.0
79,4,4,1,0.85,0.722,1.0,1.0,11.718,36.455,1.0
80,0,4,2,0.91,0.812,1.0,1.0,16.333,37.61,0.0
81,1,4,2,0.86,0.725,1.0,1.0,0.757,2.318,0.0
82,2,4,2,0.89,0.788,1.0,1.0,10.0,20.715,0.0
83,3,4,2,0.8,0.615,1.0,1.0,10.469,17.532,1.5
84,4,4,2,0.9,0.778,1.0,1.0,14.429,23.962,1.0
85,0,4,3,0.79,0.543,1.0,1.0,3.28,9.089,0.0
86,1,4,3,0.87,0.745,1.0,1.0,8.947,24.876,0.0
87,2,4,3,0.84,0.692,1.0,1.0,9.333,30.116,0.0
88,3,4,3,0.89,0.788,1.0,1.0,6.39,19.141,0.0
89,4,4,3,0.89,0.766,1.0,1.0,8.444,16.56,0.0
90,0,4,4,0.9,0.762,1.0,1.0,7.875,25.478,1.0
91,1,4,4,0.89,0.78,1.0,1.0,9.641,23.415,1.0
92,2,4,4,0.87,0.78,1.0,1.0,8.848,28.36,0.0
93,3,4,4,0.83,0.66,1.0,1.0,3.212,6.371,0.0
94,4,4,4,0.84,0.66,1.0,1.0,10.032,27.152,1.0
95,0,4,5,0.78,0.607,1.0,1.0,15.294,24.637,1.0
96,1,4,5,0.9,0.811,1.0,1.0,10.837,30.894,1.0
97,2,4,5,0.89,0.744,1.0,1.0,9.594,23.169,1.0
98,3,4,5,0.89,0.8,1.0,1.0,8.159,20.619,1.0
99,4,4,5,0.87,0.683,1.0,1.0,11.214,28.91,1.0
100,0,5,1,0.9,0.783,1.0,1.0,4.0,8.219,0.0
101,1,5,1,0.85,0.667,1.0,1.0,19.133,49.787,1.0
102,2,5,1,0.89,0.784,1.0,1.0,8.8,25.207,0.5
103,3,5,1,0.83,0.717,1.0,1.0,5.186,14.509,0.0
104,4,5,1,0.88,0.739,1.0,1.0,7.265,11.718,0.5
105,0,5,2,0.89,0.78,1.0,1.0,6.436,18.246,0.0
106,1,5,2,0.86,0.736,1.0,1.0,8.974,28.453,0.0
107,2,5,2,0.88,0.75,0.982,0.971,8.606,13.987,0.0
108,3,5,2,0.85,0.717,1.0,1.0,6.526,11.523,0.0
109,4,5,2,0.84,0.667,1.0,1.0,4.875,9.479,0.0
110,0,5,3,0.86,0.708,1.0,1.0,6.294,22.786,0.0
111,1,5,3,0.77,0.531,1.0,1.0,10.808,23.805,0.0
112,2,5,3,0.88,0.76,1.0,1.0,2.053,6.46,0.0
113,3,5,3,0.87,0.759,1.0,1.0,7.049,17.203,0.0
114,4,5,3,0.93,0.851,1.0,1.0,11.325,31.241,0.0
115,0,5,4,0.89,0.787,0.981,0.974,8.676,24.968,0.0
116,1,5,4,0.88,0.755,1.0,1.0,6.811,12.324,1.0
117,2,5,4,0.87,0.729,1.0,1.0,12.8,29.48,1.0
118,3,5,4,0.82,0.667,1.0,1.0,3.028,7.467,0.0
119,4,5,4,0.82,0.64,1.0,1.0,7.469,24.009,1.0
120,0,5,5,0.86,0.77,1.0,1.0,6.553,14.924,1.0
121,1,5,5,0.85,0.732,1.0,1.0,11.0,26.962,1.0
122,2,5,5,0.89,0.732,1.0,1.0,15.8,43.936,1.0
123,3,5,5,0.88,0.727,1.0,1.0,6.094,10.867,1.0
124,4,5,5,0.9,0.783,1.0,1.0,5.194,10.679,1.0
