th_mode,th_multiplier,th_majority,mk_size,cv_step,accuracy,recall,specificity,precision,dt_mean,dt_std,dt_median
daytime,1.05,1.0,7,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.1,0.1,3,2,0.894,0.799,0.986,0.985,2.612,4.382,0.3
daytime,1.1,0.1,5,2,0.883,0.766,1.0,1.0,3.031,4.771,0.4
daytime,1.1,0.1,7,2,0.88,0.76,1.0,1.0,4.006,6.005,0.8
daytime,1.1,0.2,3,2,0.67,0.34,1.0,1.0,3.341,5.746,0.0
daytime,1.1,0.2,5,2,0.643,0.287,1.0,1.0,2.228,4.363,0.0
daytime,1.1,0.2,7,2,0.63,0.26,1.0,1.0,1.075,2.438,0.0
daytime,1.1,0.3,3,2,0.617,0.232,1.0,1.0,0.033,0.075,0.0
daytime,1.1,0.3,5,2,0.617,0.232,1.0,1.0,0.125,0.219,0.0
daytime,1.1,0.3,7,2,0.617,0.232,1.0,1.0,0.125,0.219,0.0
daytime,1.1,0.4,3,2,0.617,0.232,1.0,1.0,1.067,1.731,0.0
daytime,1.1,0.4,5,2,0.617,0.232,1.0,1.0,1.567,2.851,0.1
daytime,1.1,0.4,7,2,0.613,0.225,1.0,1.0,2.379,3.804,0.7
daytime,1.1,0.5,3,2,0.597,0.194,1.0,1.0,6.411,8.424,2.6
daytime,1.1,0.5,5,2,0.583,0.167,1.0,1.0,5.205,6.512,2.5
daytime,1.1,0.5,7,2,0.583,0.167,1.0,1.0,6.33,8.489,2.3
daytime,1.1,0.6,3,2,0.52,0.04,1.0,1.0,14.4,0.6,14.4
daytime,1.1,0.6,5,2,0.51,0.021,1.0,0.6,400000012.2,0.0,400000012.2
daytime,1.1,0.6,7,2,0.503,0.007,1.0,0.2,800000005.2,0.0,800000005.2
daytime,1.1,0.7,3,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.1,0.7,5,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.1,0.7,7,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.1,0.8,3,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.1,0.8,5,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.1,0.8,7,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.1,0.9,3,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.1,0.9,5,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.1,0.9,7,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.1,1.0,3,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.1,1.0,5,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.1,1.0,7,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.15,0.1,3,2,0.89,0.786,0.993,0.992,2.94,4.734,0.3
daytime,1.15,0.1,5,2,0.867,0.732,1.0,1.0,3.497,5.503,0.6
daytime,1.15,0.1,7,2,0.863,0.725,1.0,1.0,4.163,6.114,1.4
daytime,1.15,0.2,3,2,0.65,0.3,1.0,1.0,3.112,6.777,0.0
daytime,1.15,0.2,5,2,0.63,0.259,1.0,1.0,0.816,2.124,0.0
daytime,1.15,0.2,7,2,0.627,0.253,1.0,1.0,0.822,2.131,0.0
daytime,1.15,0.3,3,2,0.617,0.232,1.0,1.0,0.033,0.075,0.0
daytime,1.15,0.3,5,2,0.617,0.232,1.0,1.0,0.125,0.219,0.0
daytime,1.15,0.3,7,2,0.617,0.232,1.0,1.0,0.158,0.287,0.0
daytime,1.15,0.4,3,2,0.617,0.232,1.0,1.0,1.392,1.963,0.5
daytime,1.15,0.4,5,2,0.613,0.226,1.0,1.0,1.934,3.028,1.0
daytime,1.15,0.4,7,2,0.607,0.212,1.0,1.0,1.896,2.175,1.4
daytime,1.15,0.5,3,2,0.597,0.194,1.0,1.0,7.434,8.937,3.0
daytime,1.15,0.5,5,2,0.577,0.154,1.0,1.0,3.973,4.52,2.9
daytime,1.15,0.5,7,2,0.577,0.154,1.0,1.0,4.858,6.255,2.2
daytime,1.15,0.6,3,2,0.507,0.013,1.0,0.2,800000000.0,0.6,800000000.0
daytime,1.15,0.6,5,2,0.503,0.006,1.0,0.2,799999999.6,0.0,799999999.6
daytime,1.15,0.6,7,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.15,0.7,3,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.15,0.7,5,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.15,0.7,7,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.15,0.8,3,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.15,0.8,5,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.15,0.8,7,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.15,0.9,3,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.15,0.9,5,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.15,0.9,7,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.15,1.0,3,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.15,1.0,5,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.15,1.0,7,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.2,0.1,3,2,0.893,0.786,1.0,1.0,3.416,5.194,0.5
daytime,1.2,0.1,5,2,0.86,0.718,1.0,1.0,3.842,5.894,0.6
daytime,1.2,0.1,7,2,0.847,0.692,1.0,1.0,4.225,6.247,0.9
daytime,1.2,0.2,3,2,0.64,0.28,1.0,1.0,1.749,3.637,0.0
daytime,1.2,0.2,5,2,0.623,0.246,1.0,1.0,0.405,0.942,0.0
daytime,1.2,0.2,7,2,0.62,0.239,1.0,1.0,0.2,0.49,0.0
daytime,1.2,0.3,3,2,0.617,0.232,1.0,1.0,0.083,0.207,0.0
daytime,1.2,0.3,5,2,0.617,0.232,1.0,1.0,0.15,0.285,0.0
daytime,1.2,0.3,7,2,0.617,0.232,1.0,1.0,0.208,0.36,0.0
daytime,1.2,0.4,3,2,0.613,0.225,1.0,1.0,2.08,2.729,1.3
daytime,1.2,0.4,5,2,0.607,0.213,1.0,1.0,2.18,3.297,1.3
daytime,1.2,0.4,7,2,0.603,0.206,1.0,1.0,2.042,2.609,1.6
daytime,1.2,0.5,3,2,0.59,0.181,1.0,1.0,6.736,8.202,3.0
daytime,1.2,0.5,5,2,0.577,0.154,1.0,1.0,5.263,6.293,3.1
daytime,1.2,0.5,7,2,0.573,0.148,1.0,1.0,4.853,6.42,2.0
daytime,1.2,0.6,3,2,0.503,0.006,1.0,0.2,799999999.8,0.0,799999999.8
daytime,1.2,0.6,5,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.2,0.6,7,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.2,0.7,3,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.2,0.7,5,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.2,0.7,7,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.2,0.8,3,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.2,0.8,5,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.2,0.8,7,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.2,0.9,3,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.2,0.9,5,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.2,0.9,7,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.2,1.0,3,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.2,1.0,5,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
daytime,1.2,1.0,7,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
simple,1.0,0.1,3,2,0.883,0.766,1.0,1.0,2.794,4.169,0.3
simple,1.0,0.1,5,2,0.86,0.72,1.0,1.0,3.746,6.134,0.8
simple,1.0,0.1,7,2,0.833,0.667,1.0,1.0,4.563,7.491,0.6
simple,1.0,0.2,3,2,0.633,0.264,1.0,1.0,1.442,2.94,0.0
simple,1.0,0.2,5,2,0.623,0.245,1.0,1.0,0.467,1.32,0.0
simple,1.0,0.2,7,2,0.62,0.238,1.0,1.0,0.444,1.257,0.0
simple,1.0,0.3,3,2,0.617,0.232,1.0,1.0,0.033,0.075,0.0
simple,1.0,0.3,5,2,0.617,0.232,1.0,1.0,0.125,0.219,0.0
simple,1.0,0.3,7,2,0.617,0.232,1.0,1.0,0.383,0.747,0.0
simple,1.0,0.4,3,2,0.617,0.232,1.0,1.0,1.142,1.777,0.0
simple,1.0,0.4,5,2,0.607,0.213,1.0,1.0,0.997,1.538,0.2
simple,1.0,0.4,7,2,0.607,0.213,1.0,1.0,1.83,2.687,0.9
simple,1.0,0.5,3,2,0.58,0.162,1.0,1.0,4.071,5.927,1.4
simple,1.0,0.5,5,2,0.573,0.148,1.0,1.0,3.58,3.735,2.4
simple,1.0,0.5,7,2,0.573,0.148,1.0,1.0,4.347,5.695,1.8
simple,1.0,0.6,3,2,0.503,0.006,1.0,0.2,799999999.8,0.0,799999999.8
simple,1.0,0.6,5,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
simple,1.0,0.6,7,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
simple,1.0,0.7,3,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
simple,1.0,0.7,5,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
simple,1.0,0.7,7,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
simple,1.0,0.8,3,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
simple,1.0,0.8,5,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
simple,1.0,0.8,7,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
simple,1.0,0.9,3,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
simple,1.0,0.9,5,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
simple,1.0,0.9,7,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
simple,1.0,1.0,3,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
simple,1.0,1.0,5,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
simple,1.0,1.0,7,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
simple,1.05,0.1,3,2,0.88,0.76,1.0,1.0,3.951,6.57,0.4
simple,1.05,0.1,5,2,0.84,0.679,1.0,1.0,3.934,5.727,0.8
simple,1.05,0.1,7,2,0.813,0.627,1.0,1.0,5.269,8.044,0.6
simple,1.05,0.2,3,2,0.627,0.251,1.0,1.0,0.844,2.388,0.0
simple,1.05,0.2,5,2,0.623,0.245,1.0,1.0,0.467,1.32,0.0
simple,1.05,0.2,7,2,0.617,0.232,1.0,1.0,0.0,0.0,0.0
simple,1.05,0.3,3,2,0.617,0.232,1.0,1.0,0.058,0.141,0.0
simple,1.05,0.3,5,2,0.617,0.232,1.0,1.0,0.2,0.326,0.0
simple,1.05,0.3,7,2,0.617,0.232,1.0,1.0,0.533,1.056,0.0
simple,1.05,0.4,3,2,0.61,0.219,1.0,1.0,1.453,2.121,0.4
simple,1.05,0.4,5,2,0.607,0.213,1.0,1.0,1.835,2.993,0.2
simple,1.05,0.4,7,2,0.603,0.206,1.0,1.0,2.727,3.012,2.7
simple,1.05,0.5,3,2,0.577,0.155,1.0,1.0,4.72,7.779,1.5
simple,1.05,0.5,5,2,0.57,0.141,1.0,1.0,4.34,5.794,1.9
simple,1.05,0.5,7,2,0.567,0.134,1.0,1.0,2.633,2.865,1.7
simple,1.05,0.6,3,2,0.503,0.006,1.0,0.2,799999999.8,0.0,799999999.8
