alpha,th_mode,th_multiplier,th_majority,mk_size,cv_step,accuracy,recall,specificity,precision,dt_mean,dt_std,dt_median
0.333,daytime,1.05,0.9,5,2,0.504,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,daytime,1.05,0.9,7,2,0.504,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,daytime,1.05,1.0,3,2,0.504,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,daytime,1.05,1.0,5,2,0.504,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,daytime,1.05,1.0,7,2,0.504,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,daytime,1.1,0.1,3,2,0.944,0.93,0.96,0.958,8.162,16.874,0.0
0.333,daytime,1.1,0.1,5,2,0.94,0.915,0.968,0.965,11.604,28.72,0.6
0.333,daytime,1.1,0.1,7,2,0.932,0.899,0.968,0.965,11.031,23.708,0.3
0.333,daytime,1.1,0.2,3,2,0.93,0.861,1.0,1.0,12.444,28.705,1.4
0.333,daytime,1.1,0.2,5,2,0.916,0.833,1.0,1.0,13.046,28.457,1.4
0.333,daytime,1.1,0.2,7,2,0.91,0.822,1.0,1.0,11.981,25.428,1.4
0.333,daytime,1.1,0.3,3,2,0.886,0.773,1.0,1.0,15.319,32.458,2.0
0.333,daytime,1.1,0.3,5,2,0.864,0.731,1.0,1.0,12.697,23.069,1.9
0.333,daytime,1.1,0.3,7,2,0.852,0.707,1.0,1.0,13.716,27.831,2.6
0.333,daytime,1.1,0.4,3,2,0.8,0.603,1.0,1.0,15.09,26.228,6.1
0.333,daytime,1.1,0.4,5,2,0.79,0.581,1.0,1.0,15.075,24.123,6.4
0.333,daytime,1.1,0.4,7,2,0.778,0.557,1.0,1.0,16.183,27.345,5.3
0.333,daytime,1.1,0.5,3,2,0.662,0.326,1.0,1.0,16.783,29.326,4.7
0.333,daytime,1.1,0.5,5,2,0.658,0.319,1.0,1.0,20.127,33.744,8.2
0.333,daytime,1.1,0.5,7,2,0.654,0.311,1.0,1.0,31.25,57.116,7.4
0.333,daytime,1.1,0.6,3,2,0.566,0.127,1.0,1.0,47.356,56.866,37.7
0.333,daytime,1.1,0.6,5,2,0.564,0.123,1.0,1.0,47.607,55.151,38.2
0.333,daytime,1.1,0.6,7,2,0.562,0.118,1.0,1.0,46.173,50.854,43.7
0.333,daytime,1.1,0.7,3,2,0.522,0.038,1.0,0.8,200000032.667,35.022,200000023.6
0.333,daytime,1.1,0.7,5,2,0.522,0.038,1.0,0.8,200000035.533,39.076,200000023.6
0.333,daytime,1.1,0.7,7,2,0.522,0.038,1.0,0.8,200000035.533,39.076,200000023.6
0.333,daytime,1.1,0.8,3,2,0.504,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,daytime,1.1,0.8,5,2,0.504,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,daytime,1.1,0.8,7,2,0.504,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,daytime,1.1,0.9,3,2,0.504,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,daytime,1.1,0.9,5,2,0.504,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,daytime,1.1,0.9,7,2,0.504,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,daytime,1.1,1.0,3,2,0.504,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,daytime,1.1,1.0,5,2,0.504,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,daytime,1.1,1.0,7,2,0.504,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,daytime,1.15,0.1,3,2,0.946,0.926,0.967,0.967,8.527,17.114,0.1
0.333,daytime,1.15,0.1,5,2,0.94,0.911,0.972,0.97,11.632,26.515,0.6
0.333,daytime,1.15,0.1,7,2,0.93,0.89,0.972,0.969,9.862,19.843,0.4
0.333,daytime,1.15,0.2,3,2,0.924,0.849,1.0,1.0,10.905,24.618,1.4
0.333,daytime,1.15,0.2,5,2,0.912,0.825,1.0,1.0,12.025,25.941,1.4
0.333,daytime,1.15,0.2,7,2,0.904,0.809,1.0,1.0,11.455,24.03,1.4
0.333,daytime,1.15,0.3,3,2,0.876,0.754,1.0,1.0,14.246,30.124,2.1
0.333,daytime,1.15,0.3,5,2,0.862,0.727,1.0,1.0,13.557,25.944,2.0
0.333,daytime,1.15,0.3,7,2,0.852,0.707,1.0,1.0,15.207,30.193,2.8
0.333,daytime,1.15,0.4,3,2,0.796,0.594,1.0,1.0,15.207,26.636,6.3
0.333,daytime,1.15,0.4,5,2,0.788,0.577,1.0,1.0,15.891,25.881,6.9
0.333,daytime,1.15,0.4,7,2,0.774,0.549,1.0,1.0,19.098,35.841,5.4
0.333,daytime,1.15,0.5,3,2,0.662,0.326,1.0,1.0,18.644,34.303,5.1
0.333,daytime,1.15,0.5,5,2,0.658,0.319,1.0,1.0,20.879,34.491,8.3
0.333,daytime,1.15,0.5,7,2,0.65,0.303,1.0,1.0,20.481,36.3,5.9
0.333,daytime,1.15,0.6,3,2,0.566,0.127,1.0,1.0,52.369,58.922,45.6
0.333,daytime,1.15,0.6,5,2,0.56,0.114,1.0,1.0,38.473,51.504,23.5
0.333,daytime,1.15,0.6,7,2,0.554,0.101,1.0,1.0,28.62,31.466,22.7
0.333,daytime,1.15,0.7,3,2,0.522,0.038,1.0,0.8,200000035.6,39.171,200000023.6
0.333,daytime,1.15,0.7,5,2,0.522,0.038,1.0,0.8,200000035.6,39.171,200000023.6
0.333,daytime,1.15,0.7,7,2,0.52,0.033,1.0,0.8,200000023.6,22.2,200000023.6
0.333,daytime,1.15,0.8,3,2,0.504,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,daytime,1.15,0.8,5,2,0.504,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,daytime,1.15,0.8,7,2,0.504,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,daytime,1.15,0.9,3,2,0.504,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,daytime,1.15,0.9,5,2,0.504,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,daytime,1.15,0.9,7,2,0.504,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,daytime,1.15,1.0,3,2,0.504,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,daytime,1.15,1.0,5,2,0.504,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,daytime,1.15,1.0,7,2,0.504,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,daytime,1.2,0.1,3,2,0.942,0.918,0.967,0.966,9.88,24.231,0.1
0.333,daytime,1.2,0.1,5,2,0.942,0.906,0.981,0.977,12.146,27.789,0.6
0.333,daytime,1.2,0.1,7,2,0.936,0.89,0.985,0.981,11.252,23.993,0.4
