n_neighbors,weights,th_mode,th_multiplier,th_majority,mk_size,cv_step,accuracy,recall,specificity,precision,dt_mean,dt_std,dt_median
3,distance,simple,1.15,1.0,3,2,0.44,0.474,0.407,0.444,96.659,74.416,76.6
3,distance,simple,1.15,1.0,5,2,0.466,0.306,0.625,0.452,106.962,77.75,99.9
3,distance,simple,1.15,1.0,7,2,0.49,0.246,0.733,0.477,120.047,86.905,101.6
3,distance,simple,1.2,0.1,3,2,0.492,0.988,0.0,0.495,18.449,43.414,0.4
3,distance,simple,1.2,0.1,5,2,0.492,0.988,0.0,0.495,19.8,46.186,0.1
3,distance,simple,1.2,0.1,7,2,0.492,0.988,0.0,0.495,20.708,47.537,0.0
3,distance,simple,1.2,0.2,3,2,0.492,0.988,0.0,0.495,26.405,49.933,3.7
3,distance,simple,1.2,0.2,5,2,0.492,0.988,0.0,0.495,26.976,50.466,3.9
3,distance,simple,1.2,0.2,7,2,0.49,0.984,0.0,0.494,25.867,49.034,3.8
3,distance,simple,1.2,0.3,3,2,0.49,0.984,0.0,0.494,33.64,55.203,7.5
3,distance,simple,1.2,0.3,5,2,0.49,0.984,0.0,0.494,35.752,55.959,9.3
