alpha,max_iter,th_mode,th_multiplier,th_majority,mk_size,cv_step,accuracy,recall,specificity,precision,dt_mean,dt_std,dt_median
0.333,2000,daytime,1.05,0.8,5,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,daytime,1.05,0.8,7,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,daytime,1.05,0.9,3,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,daytime,1.05,0.9,5,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,daytime,1.05,0.9,7,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,daytime,1.05,1.0,3,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,daytime,1.05,1.0,5,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,daytime,1.05,1.0,7,2,0.5,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,daytime,1.1,0.1,3,2,0.873,0.743,1.0,1.0,6.464,8.877,2.2
0.333,2000,daytime,1.1,0.1,5,2,0.823,0.643,1.0,1.0,8.36,9.94,4.9
0.333,2000,daytime,1.1,0.1,7,2,0.783,0.563,1.0,1.0,9.937,10.901,6.2
0.333,2000,daytime,1.1,0.2,3,2,0.68,0.361,1.0,1.0,11.311,12.808,6.5
0.333,2000,daytime,1.1,0.2,5,2,0.667,0.336,1.0,1.0,11.239,13.407,7.0
0.333,2000,daytime,1.1,0.2,7,2,0.65,0.302,1.0,1.0,9.897,12.972,4.2
0.333,2000,daytime,1.1,0.3,3,2,0.647,0.296,1.0,1.0,9.857,13.637,3.8
0.333,2000,daytime,1.1,0.3,5,2,0.637,0.275,1.0,1.0,8.762,13.357,0.0
0.333,2000,daytime,1.1,0.3,7,2,0.637,0.275,1.0,1.0,8.757,13.356,0.0
0.333,2000,daytime,1.1,0.4,3,2,0.61,0.222,1.0,1.0,3.433,8.084,0.0
0.333,2000,daytime,1.1,0.4,5,2,0.607,0.216,1.0,1.0,2.073,5.364,0.0
0.333,2000,daytime,1.1,0.4,7,2,0.607,0.216,1.0,1.0,2.079,5.371,0.0
0.333,2000,daytime,1.1,0.5,3,2,0.597,0.196,1.0,1.0,0.0,0.0,0.0
0.333,2000,daytime,1.1,0.5,5,2,0.597,0.196,1.0,1.0,0.0,0.0,0.0
0.333,2000,daytime,1.1,0.5,7,2,0.597,0.196,1.0,1.0,0.0,0.0,0.0
0.333,2000,daytime,1.1,0.6,3,2,0.597,0.196,1.0,1.0,0.0,0.0,0.0
