,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_medfilt_kernel_size,param_th_majority,param_th_mode,param_th_multiplier,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_specificity,split1_test_specificity,split2_test_specificity,split3_test_specificity,split4_test_specificity,mean_test_specificity,std_test_specificity,rank_test_specificity,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_detection_time_mean,split1_test_detection_time_mean,split2_test_detection_time_mean,split3_test_detection_time_mean,split4_test_detection_time_mean,mean_test_detection_time_mean,std_test_detection_time_mean,rank_test_detection_time_mean,split0_test_detection_time_std,split1_test_detection_time_std,split2_test_detection_time_std,split3_test_detection_time_std,split4_test_detection_time_std,mean_test_detection_time_std,std_test_detection_time_std,rank_test_detection_time_std,split0_test_detection_time_median,split1_test_detection_time_median,split2_test_detection_time_median,split3_test_detection_time_median,split4_test_detection_time_median,mean_test_detection_time_median,std_test_detection_time_median,rank_test_detection_time_median
0,0.9104944229125976,0.07713164219837512,4.26761565208435,0.028700331089530358,3,0.1,simple,1.0,"{'medfilt_kernel_size': 3, 'th_majority': 0.1, 'th_mode': 'simple', 'th_multiplier': 1.0}",0.87,0.88,0.92,0.87,0.92,0.892,0.02315167380558047,45,0.7735849056603774,0.7446808510638298,0.8653846153846154,0.7111111111111111,0.8571428571428571,0.7903808680725583,0.06121603641555043,39,0.9787234042553191,1.0,0.9791666666666666,1.0,0.9803921568627451,0.9876564455569461,0.010093286237022873,492,0.9761904761904762,1.0,0.9782608695652174,1.0,0.9767441860465116,0.986239106360441,0.011256155026826588,283,1.2926829268292683,8.82857142857143,8.088888888888889,7.9375,6.619047619047619,6.5533381726674405,2.7250437677957597,422,4.186178782840459,30.328191236430005,19.58210319225437,14.745629649153678,17.543079467077852,17.277036465551276,8.408273635958082,183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311
1,0.8829842567443847,0.0455298056890531,4.272025156021118,0.00576242477356245,3,0.1,simple,1.2,"{'medfilt_kernel_size': 3, 'th_majority': 0.1, 'th_mode': 'simple', 'th_multiplier': 1.2}",0.87,0.86,0.88,0.84,0.92,0.874,0.026532998322843223,57,0.7547169811320755,0.7021276595744681,0.7692307692307693,0.6444444444444445,0.8367346938775511,0.7414509096518616,0.0647816039872382,57,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,2.35,5.393939393939394,4.05,6.344827586206897,7.536585365853658,5.13507046919999,1.801765503206997,464,9.03756051155399,16.613137178312165,12.134558088368937,13.110343013658746,17.233118372136786,13.625743432806127,3.015903486054911,230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311
2,0.8599241256713868,0.010361461124225394,4.269285774230957,0.003324505782851097,3,0.1,simple,1.4,"{'medfilt_kernel_size': 3, 'th_majority': 0.1, 'th_mode': 'simple', 'th_multiplier': 1.4}",0.86,0.85,0.86,0.82,0.91,0.86,0.028982753492378905,66,0.7358490566037735,0.6808510638297872,0.7307692307692307,0.6,0.8163265306122449,0.7127591763630072,0.0711568141430342,66,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,2.230769230769231,6.25,3.526315789473684,5.296296296296297,6.625,4.785676263307843,1.667430800978527,471,9.121576388900136,17.38533865071371,11.62288315102506,11.051444734830977,17.55375672042882,13.346999929179741,3.467025778396404,234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311
3,0.878472089767456,0.02532222553630118,4.275023889541626,0.02823053525177133,3,0.1,simple,1.6,"{'medfilt_kernel_size': 3, 'th_majority': 0.1, 'th_mode': 'simple', 'th_multiplier': 1.6}",0.86,0.84,0.86,0.8,0.9,0.8520000000000001,0.032496153618543834,72,0.7358490566037735,0.6595744680851063,0.7307692307692307,0.5555555555555556,0.7959183673469388,0.6955333356721211,0.0822567922136398,73,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,5.435897435897436,6.032258064516129,3.973684210526316,6.2,4.256410256410256,5.1796499934700275,0.9099936804293195,462,18.41097063109993,17.445738681034726,12.123241797875298,11.781341180018513,9.572176422983194,13.866693742602331,3.4435799428213674,226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311
4,0.8656755447387695,0.0074073572045651485,4.253054141998291,0.004203845906420301,3,0.1,simple,1.8,"{'medfilt_kernel_size': 3, 'th_majority': 0.1, 'th_mode': 'simple', 'th_multiplier': 1.8}",0.85,0.83,0.84,0.8,0.89,0.842,0.029257477676655583,82,0.7169811320754716,0.6382978723404256,0.6923076923076923,0.5555555555555556,0.7755102040816326,0.6757304912721556,0.07453271252782308,83,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,3.789473684210526,6.6,3.8333333333333335,6.48,4.2631578947368425,4.993192982456141,1.2743303875353031,466,11.60571069670545,17.87661414623399,12.430920230529106,12.096677229718912,9.697216666669483,12.741427793971388,2.736396602180822,244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311
5,0.8716710090637207,0.015818274807300404,10.10840950012207,0.022346389992229522,3,0.1,daytime,1.0,"{'medfilt_kernel_size': 3, 'th_majority': 0.1, 'th_mode': 'daytime', 'th_multiplier': 1.0}",0.92,0.93,0.98,0.91,0.96,0.9400000000000001,0.026076809620810566,2,0.8867924528301887,0.8723404255319149,1.0,0.8,0.9591836734693877,0.9036633103662982,0.06982134251520847,1,0.9574468085106383,0.9811320754716981,0.9583333333333334,1.0,0.9607843137254902,0.971539306208232,0.016677520124310775,500,0.9591836734693877,0.9761904761904762,0.9629629629629629,1.0,0.9591836734693877,0.9715041572184429,0.015559661180566684,290,4.829787234042553,3.6341463414634148,4.490196078431373,4.027777777777778,5.872340425531915,4.570849571449406,0.7667818537828786,472,13.730412197150777,8.132308637986032,11.806233895069278,9.394106045551206,12.386707050047036,11.089953565160865,2.0391278147206675,258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311
6,0.8749699592590332,0.009387119817632851,10.123106670379638,0.030081552311367242,3,0.1,daytime,1.2,"{'medfilt_kernel_size': 3, 'th_majority': 0.1, 'th_mode': 'daytime', 'th_multiplier': 1.2}",0.91,0.94,0.98,0.91,0.95,0.9380000000000001,0.026381811916545813,6,0.8679245283018868,0.8723404255319149,1.0,0.8,0.9387755102040817,0.8958080928075767,0.0681315898925739,2,0.9574468085106383,1.0,0.9583333333333334,1.0,0.9607843137254902,0.9753128911138924,0.020186572474045695,497,0.9583333333333334,1.0,0.9629629629629629,1.0,0.9583333333333334,0.975925925925926,0.019728959030243066,289,5.456521739130435,4.2926829268292686,4.549019607843137,4.138888888888889,8.0,5.287422632538346,1.4311216825700106,460,16.107932857607135,9.352823761522439,11.887237719817783,9.457956021190068,26.879764491721925,14.737142970371872,6.546831148731915,215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311
7,0.8751008033752441,0.005848183317345393,10.112947130203247,0.016699368548071032,3,0.1,daytime,1.4,"{'medfilt_kernel_size': 3, 'th_majority': 0.1, 'th_mode': 'daytime', 'th_multiplier': 1.4}",0.91,0.94,0.99,0.91,0.96,0.942,0.03059411708155669,1,0.8490566037735849,0.8723404255319149,0.9807692307692307,0.8,0.9183673469387755,0.8841067214027012,0.0615765023829754,7,0.9787234042553191,1.0,1.0,1.0,1.0,0.9957446808510639,0.008510638297872354,486,0.9782608695652174,1.0,1.0,1.0,1.0,0.9956521739130434,0.008695652173913038,269,3.977777777777778,6.0,6.0,7.972222222222222,4.955555555555556,5.781111111111111,1.3289353392104784,444,11.731228767484748,15.09805350077271,13.2664991614216,19.12311880524477,10.409302582157633,13.925640563416291,3.0332449781166835,224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311
8,0.8880068302154541,0.025804427023244928,10.101183128356933,0.007524915314835112,3,0.1,daytime,1.6,"{'medfilt_kernel_size': 3, 'th_majority': 0.1, 'th_mode': 'daytime', 'th_multiplier': 1.6}",0.91,0.93,0.99,0.9,0.96,0.938,0.03310589071449368,10,0.8301886792452831,0.851063829787234,0.9807692307692307,0.7777777777777778,0.9183673469387755,0.8716333729036603,0.0707733583688914,14,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,2.7954545454545454,6.9,7.980392156862745,8.82857142857143,5.2,6.340883626177744,2.147597390516276,428,8.57209941786445,15.262372030585546,16.802766107573504,19.567444850035574,10.52108993086426,14.145154467384668,4.047347132560485,220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311
9,0.8775767803192138,0.01700502610732417,10.110889291763305,0.025573399162756826,3,0.1,daytime,1.8,"{'medfilt_kernel_size': 3, 'th_majority': 0.1, 'th_mode': 'daytime', 'th_multiplier': 1.8}",0.91,0.93,0.99,0.9,0.96,0.938,0.03310589071449368,10,0.8301886792452831,0.851063829787234,0.9807692307692307,0.7777777777777778,0.9183673469387755,0.8716333729036603,0.0707733583688914,14,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,2.977272727272727,7.075,8.549019607843137,10.971428571428572,6.866666666666666,7.28787751464222,2.6062646379360777,409,9.42310660114428,15.33523312506204,16.99863169290364,22.76398874699839,14.393825836872635,15.782957200596197,4.307911521002999,195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311
