alpha,max_iter,th_mode,th_multiplier,th_majority,mk_size,cv_step,accuracy,recall,specificity,precision,dt_mean,dt_std,dt_median
0.333,2000,daytime,1.05,0.8,7,2,0.556,0.101,1.0,1.0,9.348,10.942,5.0
0.333,2000,daytime,1.05,0.9,3,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,daytime,1.05,0.9,5,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,daytime,1.05,0.9,7,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,daytime,1.05,1.0,3,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,daytime,1.05,1.0,5,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,daytime,1.05,1.0,7,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,daytime,1.1,0.1,3,2,0.916,0.854,0.981,0.977,9.914,25.032,0.0
0.333,2000,daytime,1.1,0.1,5,2,0.91,0.842,0.981,0.977,8.852,17.084,0.0
0.333,2000,daytime,1.1,0.1,7,2,0.906,0.828,0.985,0.981,9.237,17.516,0.2
0.333,2000,daytime,1.1,0.2,3,2,0.878,0.756,1.0,1.0,10.57,19.929,1.0
0.333,2000,daytime,1.1,0.2,5,2,0.872,0.744,1.0,1.0,11.937,23.104,1.0
0.333,2000,daytime,1.1,0.2,7,2,0.868,0.736,1.0,1.0,12.074,23.064,0.7
0.333,2000,daytime,1.1,0.3,3,2,0.822,0.643,1.0,1.0,6.876,14.476,0.9
0.333,2000,daytime,1.1,0.3,5,2,0.814,0.628,1.0,1.0,9.301,19.662,0.4
0.333,2000,daytime,1.1,0.3,7,2,0.806,0.611,1.0,1.0,7.878,16.073,0.0
0.333,2000,daytime,1.1,0.4,3,2,0.782,0.563,1.0,1.0,9.02,23.794,0.0
0.333,2000,daytime,1.1,0.4,5,2,0.776,0.55,1.0,1.0,8.604,18.693,0.0
0.333,2000,daytime,1.1,0.4,7,2,0.772,0.542,1.0,1.0,8.317,15.516,0.2
0.333,2000,daytime,1.1,0.5,3,2,0.722,0.439,1.0,1.0,5.928,13.281,0.0
0.333,2000,daytime,1.1,0.5,5,2,0.716,0.427,1.0,1.0,7.833,15.482,0.0
0.333,2000,daytime,1.1,0.5,7,2,0.708,0.41,1.0,1.0,10.041,21.465,0.1
0.333,2000,daytime,1.1,0.6,3,2,0.692,0.379,1.0,1.0,5.475,11.831,0.0
0.333,2000,daytime,1.1,0.6,5,2,0.688,0.37,1.0,1.0,7.497,14.308,0.0
0.333,2000,daytime,1.1,0.6,7,2,0.684,0.362,1.0,1.0,10.67,23.407,0.1
0.333,2000,daytime,1.1,0.7,3,2,0.654,0.301,1.0,1.0,10.887,23.939,0.0
0.333,2000,daytime,1.1,0.7,5,2,0.646,0.286,1.0,1.0,13.521,28.285,0.2
0.333,2000,daytime,1.1,0.7,7,2,0.644,0.282,1.0,1.0,14.228,28.403,1.1
0.333,2000,daytime,1.1,0.8,3,2,0.56,0.11,1.0,1.0,5.818,8.665,1.2
0.333,2000,daytime,1.1,0.8,5,2,0.556,0.101,1.0,1.0,9.695,10.867,6.9
0.333,2000,daytime,1.1,0.8,7,2,0.556,0.101,1.0,1.0,9.695,10.867,6.9
0.333,2000,daytime,1.1,0.9,3,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,daytime,1.1,0.9,5,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,daytime,1.1,0.9,7,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,daytime,1.1,1.0,3,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,daytime,1.1,1.0,5,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,daytime,1.1,1.0,7,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,daytime,1.15,0.1,3,2,0.914,0.846,0.985,0.981,7.448,14.029,0.0
0.333,2000,daytime,1.15,0.1,5,2,0.912,0.838,0.988,0.986,9.745,19.602,0.0
0.333,2000,daytime,1.15,0.1,7,2,0.91,0.828,0.992,0.991,9.841,18.144,0.6
0.333,2000,daytime,1.15,0.2,3,2,0.874,0.748,1.0,1.0,10.762,20.548,1.0
0.333,2000,daytime,1.15,0.2,5,2,0.87,0.74,1.0,1.0,12.291,24.331,1.0
0.333,2000,daytime,1.15,0.2,7,2,0.864,0.728,1.0,1.0,12.343,24.185,0.7
0.333,2000,daytime,1.15,0.3,3,2,0.818,0.635,1.0,1.0,7.549,15.578,0.9
0.333,2000,daytime,1.15,0.3,5,2,0.81,0.619,1.0,1.0,8.568,17.234,0.0
0.333,2000,daytime,1.15,0.3,7,2,0.806,0.611,1.0,1.0,8.618,17.555,0.0
0.333,2000,daytime,1.15,0.4,3,2,0.776,0.55,1.0,1.0,6.685,13.952,0.0
0.333,2000,daytime,1.15,0.4,5,2,0.772,0.542,1.0,1.0,7.935,14.84,0.0
0.333,2000,daytime,1.15,0.4,7,2,0.768,0.534,1.0,1.0,9.915,19.126,0.2
0.333,2000,daytime,1.15,0.5,3,2,0.718,0.431,1.0,1.0,6.123,13.492,0.0
0.333,2000,daytime,1.15,0.5,5,2,0.714,0.422,1.0,1.0,8.061,15.608,0.0
0.333,2000,daytime,1.15,0.5,7,2,0.708,0.41,1.0,1.0,10.07,21.471,0.1
0.333,2000,daytime,1.15,0.6,3,2,0.69,0.375,1.0,1.0,5.581,11.894,0.0
0.333,2000,daytime,1.15,0.6,5,2,0.686,0.366,1.0,1.0,8.027,14.528,0.0
0.333,2000,daytime,1.15,0.6,7,2,0.684,0.362,1.0,1.0,11.154,23.517,0.2
0.333,2000,daytime,1.15,0.7,3,2,0.65,0.294,1.0,1.0,10.046,22.631,0.0
