,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_medfilt_kernel_size,param_splitter,param_th_majority,param_th_mode,param_th_multiplier,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_specificity,split1_test_specificity,split2_test_specificity,split3_test_specificity,split4_test_specificity,mean_test_specificity,std_test_specificity,rank_test_specificity,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_detection_time_mean,split1_test_detection_time_mean,split2_test_detection_time_mean,split3_test_detection_time_mean,split4_test_detection_time_mean,mean_test_detection_time_mean,std_test_detection_time_mean,rank_test_detection_time_mean,split0_test_detection_time_std,split1_test_detection_time_std,split2_test_detection_time_std,split3_test_detection_time_std,split4_test_detection_time_std,mean_test_detection_time_std,std_test_detection_time_std,rank_test_detection_time_std,split0_test_detection_time_median,split1_test_detection_time_median,split2_test_detection_time_median,split3_test_detection_time_median,split4_test_detection_time_median,mean_test_detection_time_median,std_test_detection_time_median,rank_test_detection_time_median
10,0.23897171020507812,0.05130552619458942,0.0,0.0,squared_error,3,best,0.2,simple,1.0,"{'criterion': 'squared_error', 'medfilt_kernel_size': 3, 'splitter': 'best', 'th_majority': 0.2, 'th_mode': 'simple', 'th_multiplier': 1.0}",,,,,,,,2330,,,,,,,,2330,,,,,,,,2330,,,,,,,,2330,,,,,,,,2330,,,,,,,,2330,,,,,,,,2330
11,0.22982850074768066,0.03340303262799955,0.0,0.0,squared_error,3,best,0.2,simple,1.2,"{'criterion': 'squared_error', 'medfilt_kernel_size': 3, 'splitter': 'best', 'th_majority': 0.2, 'th_mode': 'simple', 'th_multiplier': 1.2}",,,,,,,,2329,,,,,,,,2329,,,,,,,,2329,,,,,,,,2329,,,,,,,,2329,,,,,,,,2329,,,,,,,,2329
12,0.23765249252319337,0.035530715457089794,0.0,0.0,squared_error,3,best,0.2,simple,1.4,"{'criterion': 'squared_error', 'medfilt_kernel_size': 3, 'splitter': 'best', 'th_majority': 0.2, 'th_mode': 'simple', 'th_multiplier': 1.4}",,,,,,,,2328,,,,,,,,2328,,,,,,,,2328,,,,,,,,2328,,,,,,,,2328,,,,,,,,2328,,,,,,,,2328
13,0.22492971420288085,0.042159953824600326,0.0,0.0,squared_error,3,best,0.2,simple,1.6,"{'criterion': 'squared_error', 'medfilt_kernel_size': 3, 'splitter': 'best', 'th_majority': 0.2, 'th_mode': 'simple', 'th_multiplier': 1.6}",,,,,,,,2327,,,,,,,,2327,,,,,,,,2327,,,,,,,,2327,,,,,,,,2327,,,,,,,,2327,,,,,,,,2327
14,0.21338415145874023,0.02022630173706449,0.0,0.0,squared_error,3,best,0.2,simple,1.8,"{'criterion': 'squared_error', 'medfilt_kernel_size': 3, 'splitter': 'best', 'th_majority': 0.2, 'th_mode': 'simple', 'th_multiplier': 1.8}",,,,,,,,2326,,,,,,,,2326,,,,,,,,2326,,,,,,,,2326,,,,,,,,2326,,,,,,,,2326,,,,,,,,2326
15,0.21992077827453613,0.036240030897391216,0.0,0.0,squared_error,3,best,0.2,daytime,1.0,"{'criterion': 'squared_error', 'medfilt_kernel_size': 3, 'splitter': 'best', 'th_majority': 0.2, 'th_mode': 'daytime', 'th_multiplier': 1.0}",,,,,,,,2325,,,,,,,,2325,,,,,,,,2325,,,,,,,,2325,,,,,,,,2325,,,,,,,,2325,,,,,,,,2325
16,0.30124454498291015,0.08544865134694224,0.0,0.0,squared_error,3,best,0.2,daytime,1.2,"{'criterion': 'squared_error', 'medfilt_kernel_size': 3, 'splitter': 'best', 'th_majority': 0.2, 'th_mode': 'daytime', 'th_multiplier': 1.2}",,,,,,,,2324,,,,,,,,2324,,,,,,,,2324,,,,,,,,2324,,,,,,,,2324,,,,,,,,2324,,,,,,,,2324
17,0.29695401191711424,0.015834929070165326,0.0,0.0,squared_error,3,best,0.2,daytime,1.4,"{'criterion': 'squared_error', 'medfilt_kernel_size': 3, 'splitter': 'best', 'th_majority': 0.2, 'th_mode': 'daytime', 'th_multiplier': 1.4}",,,,,,,,2323,,,,,,,,2323,,,,,,,,2323,,,,,,,,2323,,,,,,,,2323,,,,,,,,2323,,,,,,,,2323
18,0.2387155532836914,0.059735493895418004,0.0,0.0,squared_error,3,best,0.2,daytime,1.6,"{'criterion': 'squared_error', 'medfilt_kernel_size': 3, 'splitter': 'best', 'th_majority': 0.2, 'th_mode': 'daytime', 'th_multiplier': 1.6}",,,,,,,,2322,,,,,,,,2322,,,,,,,,2322,,,,,,,,2322,,,,,,,,2322,,,,,,,,2322,,,,,,,,2322
19,0.23862867355346679,0.04311976549822969,0.0,0.0,squared_error,3,best,0.2,daytime,1.8,"{'criterion': 'squared_error', 'medfilt_kernel_size': 3, 'splitter': 'best', 'th_majority': 0.2, 'th_mode': 'daytime', 'th_multiplier': 1.8}",,,,,,,,2321,,,,,,,,2321,,,,,,,,2321,,,,,,,,2321,,,,,,,,2321,,,,,,,,2321,,,,,,,,2321
