,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_medfilt_kernel_size,param_n_neighbors,param_weights,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_specificity,split1_test_specificity,split2_test_specificity,split3_test_specificity,split4_test_specificity,mean_test_specificity,std_test_specificity,rank_test_specificity,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_detection_time_mean,split1_test_detection_time_mean,split2_test_detection_time_mean,split3_test_detection_time_mean,split4_test_detection_time_mean,mean_test_detection_time_mean,std_test_detection_time_mean,rank_test_detection_time_mean,split0_test_detection_time_std,split1_test_detection_time_std,split2_test_detection_time_std,split3_test_detection_time_std,split4_test_detection_time_std,mean_test_detection_time_std,std_test_detection_time_std,rank_test_detection_time_std,split0_test_detection_time_median,split1_test_detection_time_median,split2_test_detection_time_median,split3_test_detection_time_median,split4_test_detection_time_median,mean_test_detection_time_median,std_test_detection_time_median,rank_test_detection_time_median
0,2.835069704055786,0.29395608628615766,4.1469930648803714,0.005817177362424693,3,3,uniform,"{'medfilt_kernel_size': 3, 'n_neighbors': 3, 'weights': 'uniform'}",0.72,0.76,0.74,0.75,0.86,0.7659999999999999,0.04882622246293481,39,0.9811320754716981,1.0,1.0,0.9811320754716981,0.9787234042553191,0.9881975110397431,0.009676744806070177,2,0.425531914893617,0.4782608695652174,0.5517241379310345,0.48936170212765956,0.7547169811320755,0.5399191211299208,0.1146470275549375,39,0.6582278481012658,0.6923076923076923,0.6176470588235294,0.6842105263157895,0.7796610169491526,0.686410828499486,0.05340027786921134,39,5.615384615384615,7.203703703703703,2.642857142857143,4.653846153846154,10.673913043478262,6.157940931853975,2.698151455696832,34,14.648646361923221,21.53926615004742,9.319261744139515,16.46895052396924,35.63465237525802,19.522155431067482,8.953809065059271,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1,2.8254931926727296,0.27879356287731405,0.9131785869598389,0.006365593983692956,3,3,distance,"{'medfilt_kernel_size': 3, 'n_neighbors': 3, 'weights': 'distance'}",0.71,0.75,0.74,0.74,0.82,0.752,0.03655133376499412,40,0.9811320754716981,1.0,1.0,1.0,0.9787234042553191,0.9919710959454034,0.00986281502309238,1,0.40425531914893614,0.45652173913043476,0.5517241379310345,0.44680851063829785,0.6792452830188679,0.5077109979735142,0.09838058558528215,40,0.65,0.6835443037974683,0.6176470588235294,0.6708860759493671,0.7301587301587301,0.670447233745819,0.03726428979590797,40,5.615384615384615,7.12962962962963,2.6666666666666665,7.132075471698113,10.673913043478262,6.643533885371457,2.5919676660344915,31,14.648646361923221,21.532960347901703,9.316311007778282,24.196551864005574,35.63465237525802,21.06582439137336,8.961045228618524,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2,2.8247198104858398,0.28725122939610054,4.205550956726074,0.007000471581412881,3,5,uniform,"{'medfilt_kernel_size': 3, 'n_neighbors': 5, 'weights': 'uniform'}",0.81,0.81,0.79,0.77,0.9,0.8160000000000001,0.04454211490264017,37,0.9811320754716981,1.0,1.0,0.9811320754716981,0.9574468085106383,0.9839421918908068,0.015706719909537682,3,0.6170212765957447,0.5869565217391305,0.6379310344827587,0.5319148936170213,0.8490566037735849,0.6445760660416481,0.10828505421773592,37,0.7428571428571429,0.7397260273972602,0.6666666666666666,0.7027027027027027,0.8490566037735849,0.7402018286794714,0.06110686318623032,37,3.769230769230769,7.333333333333333,3.0238095238095237,4.384615384615385,8.555555555555555,5.413308913308913,2.146211470774944,40,8.023080610663655,21.590464287461447,10.046293074320864,16.48210433511478,32.994649772050124,17.827318415922175,8.974254760691496,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3,2.8326988697052,0.295363877177405,0.9415082931518555,0.006204587932053386,3,5,distance,"{'medfilt_kernel_size': 3, 'n_neighbors': 5, 'weights': 'distance'}",0.79,0.81,0.79,0.75,0.87,0.8019999999999999,0.039191835884530846,38,0.9811320754716981,1.0,1.0,0.9811320754716981,0.9574468085106383,0.9839421918908068,0.015706719909537682,3,0.574468085106383,0.5869565217391305,0.6379310344827587,0.48936170212765956,0.7924528301886793,0.6162340347289221,0.10022173393633839,38,0.7222222222222222,0.7397260273972602,0.6666666666666666,0.6842105263157895,0.8035714285714286,0.7232793742346735,0.04785352128346217,38,3.5576923076923075,7.481481481481482,3.0476190476190474,4.519230769230769,8.533333333333333,5.427871387871387,2.184033290971059,39,7.599123080831967,21.5670708709681,10.04265280110025,16.490662141643146,33.00006733999863,17.739915246908417,9.068224857283132,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
4,2.8242541313171388,0.2713664038829309,4.230053806304932,0.006700122532530729,3,7,uniform,"{'medfilt_kernel_size': 3, 'n_neighbors': 7, 'weights': 'uniform'}",0.89,0.85,0.85,0.88,0.91,0.876,0.023323807579381222,29,0.9811320754716981,1.0,1.0,0.9811320754716981,0.9574468085106383,0.9839421918908068,0.015706719909537682,3,0.7872340425531915,0.6739130434782609,0.7413793103448276,0.7659574468085106,0.8679245283018868,0.7672816742973355,0.06311492425567461,29,0.8387096774193549,0.782608695652174,0.7368421052631579,0.8253968253968254,0.8653846153846154,0.8097883838232256,0.045234722592929134,29,4.115384615384615,7.018518518518518,3.0714285714285716,4.826923076923077,8.577777777777778,5.522006512006511,2.002216002282406,38,8.158652429626821,21.471333810059175,10.182601541338043,16.814280965259805,32.9986456886332,17.92510288698341,8.903384225316232,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5,2.824233341217041,0.27030536951542894,0.9629327774047851,0.004531631503584513,3,7,distance,"{'medfilt_kernel_size': 3, 'n_neighbors': 7, 'weights': 'distance'}",0.86,0.84,0.83,0.84,0.91,0.8559999999999999,0.028705400188814675,34,0.9811320754716981,1.0,1.0,0.9811320754716981,0.9574468085106383,0.9839421918908068,0.015706719909537682,3,0.723404255319149,0.6521739130434783,0.7068965517241379,0.6808510638297872,0.8679245283018868,0.7262500624436878,0.074836697223588,34,0.8,0.7714285714285715,0.711864406779661,0.7761194029850746,0.8653846153846154,0.7849593993155846,0.04959544701070141,34,4.0576923076923075,7.481481481481482,3.0952380952380953,4.826923076923077,8.577777777777778,5.607822547822548,2.08120254872056,36,8.176922172371324,21.48189654771417,10.178898630218448,16.814280965259805,32.9986456886332,17.93012880083939,8.900864906436594,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
6,2.8377278804779054,0.3057988096544916,4.255780029296875,0.00559092065448987,3,9,uniform,"{'medfilt_kernel_size': 3, 'n_neighbors': 9, 'weights': 'uniform'}",0.92,0.88,0.85,0.9,0.93,0.8959999999999999,0.028705400188814675,25,0.9811320754716981,1.0,1.0,0.9811320754716981,0.9574468085106383,0.9839421918908068,0.015706719909537682,3,0.851063829787234,0.7391304347826086,0.7413793103448276,0.8085106382978723,0.9056603773584906,0.8091489181142066,0.06413585071146316,25,0.8813559322033898,0.8181818181818182,0.7368421052631579,0.8524590163934426,0.9,0.8377677744083618,0.05754686849313743,25,3.9423076923076925,7.407407407407407,3.0476190476190474,4.884615384615385,8.755555555555556,5.607501017501018,2.1446835913588416,37,7.563610914052335,21.502384465982093,10.181571543380251,16.93841088513351,33.2031829502036,17.877832151750358,9.10496409638782,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
7,2.8305835723876953,0.2807467412718243,0.9856544494628906,0.004594245378413092,3,9,distance,"{'medfilt_kernel_size': 3, 'n_neighbors': 9, 'weights': 'distance'}",0.91,0.86,0.83,0.89,0.92,0.882,0.03310589071449373,28,0.9811320754716981,1.0,1.0,0.9811320754716981,0.9574468085106383,0.9839421918908068,0.015706719909537682,3,0.8297872340425532,0.6956521739130435,0.7068965517241379,0.7872340425531915,0.8867924528301887,0.781272491012623,0.07264475449100026,28,0.8666666666666667,0.7941176470588235,0.711864406779661,0.8387096774193549,0.8823529411764706,0.8187422678201953,0.061271546975698546,28,4.4423076923076925,7.537037037037037,3.0952380952380953,4.884615384615385,8.622222222222222,5.7162840862840865,2.0466650202951064,35,8.367550559564243,21.474112720826824,10.171878891404766,16.93841088513351,33.17381088140254,18.02515278766638,8.916292573823858,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
8,2.826908826828003,0.28166917529809593,4.162115526199341,0.004483874998206305,5,3,uniform,"{'medfilt_kernel_size': 5, 'n_neighbors': 3, 'weights': 'uniform'}",0.8,0.83,0.82,0.81,0.89,0.8299999999999998,0.031622776601683784,35,0.9811320754716981,1.0,1.0,0.9811320754716981,0.9574468085106383,0.9839421918908068,0.015706719909537682,3,0.5957446808510638,0.6304347826086957,0.6896551724137931,0.6170212765957447,0.8301886792452831,0.6726089183429161,0.08473335880164344,35,0.7323943661971831,0.7605633802816901,0.7,0.7428571428571429,0.8333333333333334,0.7538296445338699,0.044370434550279565,35,6.403846153846154,7.222222222222222,4.333333333333333,7.1923076923076925,9.733333333333333,6.9770085470085474,1.7332826405709512,26,15.110184562565506,21.535213769516314,10.844499739645652,22.81112958921795,35.143768216348754,21.088959175458832,8.263139430947842,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
9,2.826222801208496,0.2722932888696408,0.9101408004760743,0.005764575266557844,5,3,distance,"{'medfilt_kernel_size': 5, 'n_neighbors': 3, 'weights': 'distance'}",0.79,0.82,0.82,0.79,0.89,0.8219999999999998,0.03655133376499412,36,0.9811320754716981,1.0,1.0,0.9811320754716981,0.9574468085106383,0.9839421918908068,0.015706719909537682,3,0.574468085106383,0.6086956521739131,0.6896551724137931,0.574468085106383,0.8301886792452831,0.655495134809151,0.09695947584306033,36,0.7222222222222222,0.75,0.7,0.7222222222222222,0.8333333333333334,0.7455555555555556,0.04666666666666669,36,6.384615384615385,7.12962962962963,3.9047619047619047,7.1923076923076925,9.733333333333333,6.868929588929589,1.865379158685125,28,15.101138324584173,21.532960347901703,10.611784832169517,22.81112958921795,35.143768216348754,21.040156262044416,8.322426776981573,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
