,cv_step,n_neighbors,weights,th_majority,th_mode,th_multiplier,mk_size,accuracy,recall,specificity,precision,dt_mean,dt_std,dt_median
53,0,3,uniform,0.2,daytime,1.1,7,0.8,0.556,1.0,1.0,18.8,10.212,22.0
54,0,3,uniform,0.2,daytime,1.15,3,0.9,0.778,1.0,1.0,16.238,10.428,17.0
55,0,3,uniform,0.2,daytime,1.15,5,0.85,0.667,1.0,1.0,17.389,10.269,19.0
56,0,3,uniform,0.2,daytime,1.15,7,0.783,0.519,1.0,1.0,19.786,10.22,23.5
57,0,3,uniform,0.2,daytime,1.2,3,0.9,0.778,1.0,1.0,16.381,10.404,17.0
58,0,3,uniform,0.2,daytime,1.2,5,0.85,0.667,1.0,1.0,17.444,10.254,19.0
59,0,3,uniform,0.2,daytime,1.2,7,0.783,0.519,1.0,1.0,19.857,10.183,23.5
60,0,3,uniform,0.3,simple,1.0,3,0.8,0.556,1.0,1.0,17.667,11.086,21.0
61,0,3,uniform,0.3,simple,1.0,5,0.767,0.481,1.0,1.0,18.385,11.685,22.0
62,0,3,uniform,0.3,simple,1.0,7,0.767,0.481,1.0,1.0,20.231,10.467,24.0
63,0,3,uniform,0.3,simple,1.05,3,0.8,0.556,1.0,1.0,17.667,11.086,21.0
64,0,3,uniform,0.3,simple,1.05,5,0.767,0.481,1.0,1.0,18.385,11.685,22.0
65,0,3,uniform,0.3,simple,1.05,7,0.767,0.481,1.0,1.0,20.231,10.467,24.0
66,0,3,uniform,0.3,simple,1.1,3,0.783,0.519,1.0,1.0,18.214,11.277,21.5
67,0,3,uniform,0.3,simple,1.1,5,0.767,0.481,1.0,1.0,18.385,11.685,22.0
68,0,3,uniform,0.3,simple,1.1,7,0.767,0.481,1.0,1.0,20.231,10.467,24.0
69,0,3,uniform,0.3,simple,1.15,3,0.783,0.519,1.0,1.0,18.214,11.277,21.5
70,0,3,uniform,0.3,simple,1.15,5,0.767,0.481,1.0,1.0,18.385,11.685,22.0
71,0,3,uniform,0.3,simple,1.15,7,0.767,0.481,1.0,1.0,20.231,10.467,24.0
72,0,3,uniform,0.3,simple,1.2,3,0.783,0.519,1.0,1.0,18.214,11.277,21.5
73,0,3,uniform,0.3,simple,1.2,5,0.767,0.481,1.0,1.0,20.308,10.498,25.0
74,0,3,uniform,0.3,simple,1.2,7,0.767,0.481,1.0,1.0,20.308,10.498,25.0
75,0,3,uniform,0.3,daytime,1.0,3,0.867,0.704,1.0,1.0,17.263,10.789,19.0
76,0,3,uniform,0.3,daytime,1.0,5,0.817,0.593,1.0,1.0,17.375,10.891,20.0
77,0,3,uniform,0.3,daytime,1.0,7,0.767,0.481,1.0,1.0,20.154,10.56,24.0
78,0,3,uniform,0.3,daytime,1.05,3,0.85,0.667,1.0,1.0,18.0,10.625,20.0
79,0,3,uniform,0.3,daytime,1.05,5,0.817,0.593,1.0,1.0,17.438,10.834,20.0
80,0,3,uniform,0.3,daytime,1.05,7,0.767,0.481,1.0,1.0,20.231,10.467,24.0
81,0,3,uniform,0.3,daytime,1.1,3,0.85,0.667,1.0,1.0,18.056,10.601,20.0
82,0,3,uniform,0.3,daytime,1.1,5,0.783,0.519,1.0,1.0,17.714,11.517,21.5
